Cluster,Step,Reward,Latency_P90,Latency_Avg,Replicas,CPU_Pct,Requests,Success,HPA_Target,Throughput,Forecast
C2,1,-0.3884958229480848,23.3,18.9,27,2.575000047683716,78.0,1.0,90,3.0,63.0
C2,2,0.43103972196674895,50.0,17.6,27,0.4148148000240326,5.0,1.0,70,1.0,34.0
C2,3,0.43101000866160666,50.0,17.7,27,0.4000000059604645,3.0,1.0,70,1.0,24.933332443237305
C2,4,0.7062482248230916,18.9,18.0,27,0.5185185074806213,33.0,1.0,70,3.0,17.49333381652832
C2,5,0.28634682170974607,18.1,17.8,13,0.4615384638309479,15.0,1.0,30,3.0,13.029333114624023
C2,6,0.2847063687555755,18.5,17.8,1,0.7384615540504456,45.0,1.0,50,3.0,11.950933456420898
C2,7,0.7084760865278696,18.4,17.8,1,1.600000023841858,14.0,1.0,70,1.0,11.703893661499023
C2,8,0.5710902975977581,50.0,17.8,1,0.4000000059604645,2.0,1.0,30,1.0,11.155669212341309
C2,9,0.5744120147012152,50.0,17.8,1,1.2000000476837158,6.0,1.0,30,2.0,9.22673511505127
C2,10,0.7664365153396193,18.1,17.8,1,1.2000000476837158,12.0,1.0,50,1.0,7.802707672119141
C2,11,0.772547377988288,18.8,17.9,1,2.799999952316284,26.0,1.0,50,2.0,8.414958000183105
C2,12,0.6809751861440221,18.2,17.7,1,1.600000023841858,15.0,1.0,90,3.0,9.048974990844727
C2,13,0.6840840775133381,18.2,17.8,1,5.199999809265137,42.0,1.0,90,3.0,9.696051597595215
C2,14,0.5727547725551173,50.0,17.9,1,0.800000011920929,6.0,1.0,30,2.0,8.750964164733887
C2,15,0.4326406626870005,50.0,17.9,1,1.2000000476837158,8.0,1.0,70,1.0,8.583911895751953
C2,16,0.6063907251622179,32.800000000000004,25.9,1,8.0,42.0,1.0,70,2.0,9.417014122009277
C2,17,0.709325018440201,19.0,17.9,1,2.0,15.0,1.0,70,3.0,10.183541297912598
C2,18,0.6826224492010974,18.700000000000003,17.9,1,3.5999999046325684,28.0,1.0,90,2.0,11.443458557128906
C2,19,0.6066263154467801,33.5,27.3,1,10.399999618530273,52.0,1.0,70,2.0,12.866074562072754
C2,20,0.7084760865278696,18.1,17.8,1,1.600000023841858,11.0,1.0,70,1.0,14.519644737243652
C2,21,0.5992352196654558,32.7,25.1,1,4.800000190734863,24.0,1.0,70,1.0,16.84511947631836
C2,22,0.8591758329899635,18.2,17.8,1,3.5999999046325684,32.0,1.0,30,2.0,16.907072067260742
C2,23,0.40536883755156783,50.0,17.8,1,0.800000011920929,7.0,1.0,90,1.0,16.41090965270996
C2,24,0.709325018440201,18.700000000000003,17.8,1,2.0,16.0,1.0,70,2.0,13.979879379272461
C2,25,0.7633643338995105,32.599999999999994,26.1,1,8.800000190734863,46.0,1.0,30,2.0,13.454594612121582
