Cluster,Step,Reward,Latency_P90,Latency_Avg,Replicas,CPU_Pct,RAM_Pct,Requests,Total_CPU,Total_RAM,Success,HPA_Target,Throughput,Enhancement,Forecast
C2,1,0.6578264770397262,29.0,20.8,3,1.0666667,15.364583,26.0,8.0,59.0,1.0,50,1.0,0,0.0
C2,2,0.7525644041928072,18.5,17.7,3,0.8,15.625,5.0,6.0,60.0,1.0,50,2.0,2,0.0
C2,3,0.4894065094559651,50.0,17.7,3,0.8,15.364583,3.0,6.0,59.0,1.0,50,3.0,2,0.0
C2,4,0.7562676834754172,18.0,17.6,3,1.7333333,15.364583,11.0,13.0,59.0,1.0,50,3.0,1,0.0
C2,5,0.4878391920465357,50.0,17.6,3,0.4,15.364583,5.0,3.0,59.0,1.0,50,1.0,1,0.0
C2,6,0.7553963350155761,18.2,17.7,1,5.6,17.1875,15.0,14.0,22.0,1.0,50,3.0,1,0.0
C2,7,0.8500762134230411,18.0,17.6,1,3.2,16.40625,14.0,8.0,21.0,1.0,30,2.0,1,0.0
C2,8,0.5765839711106497,50.0,18.3,1,0.8,16.40625,2.0,2.0,21.0,1.0,30,2.0,1,0.0
C2,9,0.5765839711106497,50.0,17.7,1,0.8,17.1875,3.0,2.0,22.0,1.0,30,1.0,2,0.0
C2,10,0.8449503405842114,18.3,17.7,1,2.0,17.1875,12.0,5.0,22.0,1.0,30,1.0,2,0.0
C2,11,0.8500762134230411,18.4,17.9,1,3.2,16.40625,13.0,8.0,21.0,1.0,30,2.0,1,0.0
C2,12,0.8466688412521486,18.3,17.6,1,2.4,16.40625,5.0,6.0,21.0,1.0,30,3.0,1,0.0
C2,13,0.8500762134230411,18.4,17.8,1,3.2,16.40625,14.0,8.0,21.0,1.0,30,2.0,1,0.0
C2,14,0.5783284365275948,50.0,17.7,1,1.2,16.40625,3.0,3.0,21.0,1.0,30,2.0,0,0.0
C2,15,0.5783284365275948,50.0,17.5,1,1.2,16.40625,8.0,3.0,21.0,1.0,30,1.0,2,0.0
C2,16,0.754558096490799,33.099999999999994,27.2,1,8.0,16.40625,21.0,20.0,21.0,1.0,30,3.0,1,0.0
C2,17,0.843222663187408,18.2,17.9,1,1.6,16.40625,5.0,4.0,21.0,1.0,30,2.0,1,0.0
C2,18,0.8583972924502834,18.2,17.9,1,5.2,16.40625,14.0,13.0,21.0,1.0,30,3.0,0,0.0
C2,19,0.7264934026556573,33.7,26.8,1,2.4,16.40625,26.0,6.0,21.0,1.0,30,1.0,1,0.0
C2,20,0.843222663187408,19.5,17.8,1,1.6,16.40625,11.0,4.0,21.0,1.0,30,1.0,0,0.0
C2,21,0.755167388270577,32.5,26.3,1,6.8,16.40625,24.0,17.0,21.0,1.0,30,3.0,0,0.0
C2,22,0.8616357506885648,18.2,17.8,1,6.0,16.40625,16.0,15.0,21.0,1.0,30,3.0,1,0.0
C2,23,0.8483776397808107,18.2,17.8,1,2.8,16.40625,7.0,7.0,21.0,1.0,30,3.0,0,0.0
C2,24,0.580064768450566,50.0,17.9,1,1.6,16.40625,8.0,4.0,21.0,1.0,30,1.0,2,0.0
C2,25,0.7527072879498349,32.599999999999994,27.099999999999998,1,6.4,16.40625,23.0,16.0,21.0,1.0,30,3.0,2,0.0
C2,26,0.8583972924502834,17.9,17.6,1,5.2,16.40625,14.0,13.0,21.0,1.0,30,3.0,0,0.0
C2,27,0.8534405798950884,17.9,17.5,1,4.0,16.40625,11.0,10.0,21.0,1.0,30,3.0,1,0.0
C2,28,0.742479613143209,33.4,26.9,1,5.6,16.40625,20.0,14.0,21.0,1.0,30,3.0,1,0.0
C2,29,0.25617490649290753,89.0,48.099999999999994,1,12.4,16.40625,49.0,31.0,21.0,1.0,30,3.0,2,0.0
